RA	DEC	MAG	DIST	B-V
18.43699068	-8.31581127	9.24	34.13	1.035
18.45261156	-50.65538631	8.57	42.46	0.446
18.49524148	16.49465738	9.98	30.66	1.220
18.54367268	58.81244629	7.29	42.90	0.546
18.59986241	-7.92350040	5.24	24.38	0.448
18.62256714	-5.04704963	7.62	38.52	0.575
18.64205953	-53.94286996	11.13	16.46	1.637
18.70491873	-0.97429411	5.80	43.88	0.428
18.75133430	-68.81909440	7.39	21.11	1.000
18.79403213	-45.53209717	5.09	15.05	0.571
18.93728992	-53.71573852	8.38	47.98	0.646
18.93956391	-68.87623708	4.96	20.43	0.480
19.10048066	-12.09698844	7.69	26.52	0.753
19.12226076	42.93949385	6.72	23.64	0.594
19.16283929	25.33172767	10.19	22.71	1.353
19.17798182	24.50233629	10.12	48.85	1.022
19.18547637	44.67133148	12.11	48.61	0.000
19.24522939	-2.27881800	6.65	29.69	0.563
19.31392861	-35.71547383	11.36	16.50	1.510
19.31461024	-13.26331464	10.87	24.31	1.447
19.34459814	-5.63250837	8.00	48.97	0.556
19.39106895	-15.50216373	9.88	30.14	1.008
19.47166330	5.47546960	10.87	15.31	1.478
19.49661488	-48.15055596	11.67	40.70	1.447
19.56627324	-12.89818577	11.85	22.11	1.440
19.58759387	44.27088388	10.10	36.22	0.927
19.67019999	-0.86695851	8.15	27.65	0.780
19.81170328	-43.62925166	8.83	32.15	0.876
19.88915049	-39.36272349	7.78	39.08	0.622
20.01238711	-9.88360181	6.75	48.69	0.405
20.11563775	-57.33873297	7.11	49.31	0.545
20.12483587	-19.94845905	7.71	28.79	0.702
20.13417401	-11.46736892	8.57	35.06	0.791
20.13726009	38.33314951	10.78	46.71	1.108
20.15432320	54.96255076	7.33	33.24	0.586
20.17109890	57.32685005	10.49	18.97	1.340
20.26571679	38.03416304	7.97	49.38	0.661
20.36614642	31.34165105	8.61	28.75	0.916
20.37150870	24.33054693	10.81	26.42	1.420
20.37480789	80.15199391	9.79	24.13	1.292
20.39010873	-41.65529478	10.23	16.87	1.383
20.43952009	-46.71418505	11.47	23.40	1.627
20.49667464	76.71036810	7.31	16.82	0.826
20.53188179	-26.89255267	8.91	31.12	0.970
20.57305873	18.68271329	7.09	25.60	0.627
20.59508300	-33.21350931	10.39	26.95	1.295
20.65150360	12.75092621	9.61	41.95	1.024
20.73625646	7.41869880	7.46	45.19	0.829
20.75399055	-16.48703344	8.06	37.04	0.656
20.75984242	-12.96600556	8.00	30.22	0.900
